chromosome,gene_id,gene_name,start_bp,end_bp,strand,essential_status,feature_type,source_file,source_sheet
chrII,S000000305,FES1,443821,444693,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000306,EXO84,445062,447323,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000307,SIF2,447709,449316,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000309,VID24,450881,451969,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000311,IML3,453793,454530,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000312,AIM3,454822,457665,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000313,CMD1,457919,458362,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000780,RPL12A,52721,53218,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006985,YHLCdelta1,91772,92099,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000912,KAP123,378762,382103,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007245,COX19,108676,108972,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000913,SWI4,382595,385876,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000914,LSM4,387232,387795,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000915,TMN3,387932,390052,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000916,BOI2,390590,393712,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000917,SPR6,394292,394867,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000028819,YDR003W-A,454782,454904,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000919,RPL23B,396769,397653,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000919,S000000919,396811,397281,+,Ambiguous,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXII,S000007246,TMA7,669468,669662,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000920,SHO1,397952,399055,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000921,AVT6,399496,400842,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000922,SCS2,401135,401869,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000923,YER121W,402375,402719,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000924,GLO3,402871,404352,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006986,YHLComega1,7994,8225,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001057,MIP6,134554,136533,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000925,YCK3,404813,406387,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000926,DSE1,407342,409063,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000927,RSP5,410189,412618,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000928,NSA2,413394,414179,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000929,LCP5,414481,415554,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006987,YHLCsigma1,85388,85538,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000931,SAK1,417281,420709,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000932,COM2,421115,422446,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000933,RPS26B,423952,424311,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000933,S000000933,423591,423951,+,Unknown,five_prime_UTR_intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000934,PMD1,425188,430449,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000935,GLC7,432495,433958,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000935,S000000935,432672,433196,+,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000936,YER134C,437267,437803,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000937,YER135C,437952,438344,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006988,YHLWdelta2,92240,92390,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000028820,YDR118W-A,687768,687884,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000938,GDI1,439616,440971,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000939,YER137C,441373,441819,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000940,YER138C,443756,449024,-,Unknown,transposable element gene,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000940,S000000940,447722,447722,-,Unknown,plus_1_translational_frameshift,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001345,CAB2,203556,204653,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001346,SDS3,202276,203259,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001347,KTR7,200490,202043,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001348,YIL086C,200153,200461,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000007034,YJRCdelta19,541095,541427,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001058,YSC84,136881,138455,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001058,S000001058,138241,138408,-,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001059,YSC83,138694,139851,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001060,ARG4,140011,141402,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001061,DED81,141894,143558,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001062,YHR020W,143996,146062,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001066,MAS2,157744,159192,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001067,THR1,159438,160511,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001068,VMA16,160844,161485,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006989,YHLWtau1,85539,85909,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001069,RPN1,161730,164711,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001070,DAP2,164978,167434,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001459,YIR020C,394255,394557,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001460,MRS1,397294,398385,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001461,SEC11,398733,399236,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001462,DAL81,399777,402689,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001463,INA22,402841,403491,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001464,MND2,403659,404765,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001465,YVH1,404873,405967,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007247,ATP18,103983,104162,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007248,YMR046W-A,362702,362830,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001466,DAL1,406260,407642,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001467,DAL4,408468,410375,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001468,DAL2,410807,411838,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001469,DCG1,412036,412770,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000007035,YJLWsigma1,197401,197494,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001470,DAL7,413015,414679,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007249,YMR158C-A,573194,573331,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001472,MGA2,416124,419465,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001473,LYS1,419615,420736,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001475,IRC24,422074,422865,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000781,POL5,48471,51539,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000782,HAT2,47168,48373,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000783,SDD1,45020,45721,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000784,PCM1,43252,44925,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000785,HHY1,42652,42960,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000786,PRB1,40046,41953,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000028653,YHR214C-D,550648,550941,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000787,CIN8,36535,39537,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000788,NPR2,34407,36254,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001353,UTP25,191030,193195,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000789,CAN1,31694,33466,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000790,AVT2,29797,31239,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000791,SIT1,27657,29543,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006990,YHLWtau2,91391,91761,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000795,HXT13,21537,23231,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007250,YMR194C-A,652912,653136,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000796,DSF1,19589,21097,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000797,DLD3,16355,17845,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000798,RMD6,13720,14415,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000799,YEL073C,7230,7553,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000800,YEL074W,6126,6464,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006991,YHLWTy4-1,85539,91761,+,Unknown,LTR retrotransposon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000803,MNN1,153520,155808,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000804,NOP16,156803,157498,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000805,PMI40,157736,159118,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000805,S000000805,158995,159087,-,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000806,FMP52,159580,160275,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000807,YND1,160550,162442,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001350,AVT7,197931,199403,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000028821,YDR320W-B,1108484,1108621,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001352,ICE2,193595,195070,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIV,S000007251,HUB1,687243,687464,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001354,YIL092W,189066,190967,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001355,RSM25,187990,188784,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001356,LYS12,186517,187632,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001357,PRK1,183937,186369,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001358,BMT5,182117,183127,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001359,FYV10,180427,181977,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001361,SGA1,178004,179653,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001362,YIL100W,177373,177726,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001363,XBP1,175307,177250,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001364,YIL102C,174582,174887,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001365,DPH1,171751,173028,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001366,SHQ1,169982,171505,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000007252,YOL013W-B,300690,300980,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001367,SLM1,167581,169641,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000000059,FLO9,24000,27968,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000000060,YAL064W,21566,21850,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000000061,YAL066W,10091,10399,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001489,RPL14A,431906,432720,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001489,S000001489,432035,432432,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000000062,SEO1,7235,9016,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001488,BYE1,433093,434877,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000000063,NUP60,152257,153876,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000000064,SWD1,155005,156285,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001477,GTT1,423809,424513,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001487,AUR1,435580,436785,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001478,YPS6,430498,432111,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000156,YEL1,107932,109995,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000157,SKT5,105316,107406,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000158,YBL062W,105308,105688,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000159,KIP1,101886,105221,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000160,PRX1,100371,101156,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000028822,YDR371C-A,1219509,1219613,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000162,SEF1,96669,100115,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000163,UBP13,93639,95882,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000164,PRS4,92414,93394,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000165,AST1,90741,92030,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000166,YBL070C,90605,90925,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000167,YBL071C,90223,90531,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000168,RPS8A,88523,89125,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000168,S000000168,89133,89440,-,Unknown,five_prime_UTR_intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000170,AAR2,86722,87789,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000007253,MBF1,877230,877685,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000171,SSA3,84499,86448,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000172,ILS1,81043,84261,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000640,PER1,206877,207950,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000641,RRT12,208135,209610,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000642,IMG1,209914,210423,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000643,BUD23,210718,211545,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000644,ARE1,211929,213761,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000645,YCR049C,211871,212317,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000646,YCR050C,213464,213772,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000647,ACL1,214071,214739,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000648,RSC6,214994,216445,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000649,THR4,216697,218241,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001126,STE12,274174,276240,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000650,CTR86,218376,220067,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001122,LAM4,262801,266838,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001123,LRP1,267538,268092,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001124,KSP1,268459,271548,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001125,SAM35,272627,273616,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006992,YHRCdelta3,116421,116752,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001127,IPI1,276764,277768,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001128,NAM8,278153,279724,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001129,RTC3,280820,281155,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001130,RPF1,281495,282382,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001131,GAR1,282681,283298,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001132,YNG2,283777,284625,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001133,MSR1,284839,286770,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001134,HXT4,287081,288811,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001135,AHT1,289142,289690,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001136,HXT1,290913,292625,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001137,YHR095W,292943,293437,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001222,OYE2,462502,463704,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001218,CTR2,452872,453441,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001138,HXT5,294669,296447,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001140,SFB3,299145,301934,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001141,TRA1,302761,313995,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001142,GEP4,314116,314673,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001143,BIG1,314874,315968,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001143,S000001143,315772,315858,-,Ambiguous,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006993,YHRCdelta4,116763,117061,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001217,ENO2,451327,452640,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001219,FMO1,454229,455527,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001221,STB5,459299,461530,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001223,YHR180W,465178,465669,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006994,YHRCdelta5,133201,133442,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001226,GND1,470960,472429,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001227,SSP1,472744,474459,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001230,IKI1,480990,481919,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006995,YHRCdelta6,133565,133684,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001231,GPI16,482005,483837,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001232,PTH1,484028,484600,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001233,ERG9,484845,486179,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001234,CTF8,486230,486631,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001235,LNP1,486826,487662,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001236,EGD2,487712,488236,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000007254,YPR002C-A,560569,560766,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001237,MDM31,488657,490396,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001238,NVJ1,490747,491712,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001239,UTP9,491931,493658,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001240,RIX1,493896,496187,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001241,AIM18,496315,497280,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001242,AIM46,497490,498422,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001243,RPN10,499079,499885,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001244,PPX1,499950,501143,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001246,RPS4B,504476,505530,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001246,S000001246,505248,505516,-,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001247,MNL1,506319,508709,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001248,SCH9,509363,511837,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001249,SKN7,512732,514600,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000006996,YHRCdelta8,358672,358850,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001644,KDX1,149386,150687,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000001645,YKL162C,147630,148838,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
